Episode_ID,Start_Time,End_Time,Total_Steps,Cumulative_Reward,Average_Reward,Max_Reward,Min_Reward,Solved,Checkpoint_Saved,Goal_Scored,Notes
196,1742506376.253112,1742506383.8046405,758,9806.14655741026,12.936868809248365,9026.4922829394,-9.950617283952813,0,No,1,
197,1742506383.8054593,1742506390.805244,763,10234.822063181136,13.413921445846837,9042.075684409772,-9.950617283952813,0,No,1,
198,1742506390.8099473,1742506397.6903684,760,10937.31662345124,14.391206083488473,9095.769886132279,-9.950617283952813,0,No,1,
199,1742506397.6914146,1742506411.0163362,1423,-63861.16755271383,-44.87784086627816,4.95461424361275,-1099.9273937653038,0,No,0,
200,1742506411.0256543,1742506420.053727,997,-1113.2741502806898,-1.116624022347733,2.0593889653868582,-999.9003393003468,0,Yes,0,
201,1742506420.0549235,1742506426.8607543,746,13688.454513965517,18.34913473721919,9378.13905905238,-9.950617283952813,0,No,1,
202,1742506426.8616834,1742506434.3198218,758,255218.29430071777,336.6995967027939,172830.45280671408,-9.950617283952813,0,No,1,
203,1742506434.321894,1742506441.4109254,758,255218.29430061343,336.69959670265627,172830.45280661772,-9.950617283952813,0,No,1,
204,1742506441.4122329,1742506448.5765123,758,255218.29430079868,336.69959670290064,172830.45280680974,-9.950617283952813,0,No,1,
205,1742506448.5775137,1742506455.5003514,735,9259.937942785955,12.598555024198578,9011.845483356403,-9.950617283952813,0,No,1,
206,1742506455.5012996,1742506462.3709033,758,255218.29430094428,336.6995967030927,172830.4528069443,-9.950617283952813,0,No,1,
207,1742506462.3719068,1742506469.598049,758,255218.29430168084,336.69959670406445,172830.4528078339,-9.950617283952813,0,No,1,
208,1742506469.598905,1742506477.049903,758,255218.29430041564,336.6995967023953,172830.45280639312,-9.950617283952813,0,No,1,
209,1742506477.0562346,1742506484.0963974,758,255218.29430058593,336.69959670261994,172830.4528065923,-9.950617283952813,0,No,1,
210,1742506484.097297,1742506490.796982,735,9259.937942785999,12.598555024198637,9011.845483356403,-9.950617283952813,0,No,1,
211,1742506490.7986674,1742506498.1575317,801,8928.181539654312,11.146294056996643,8907.569904493404,-92.28774780276773,0,No,1,
212,1742506498.1586046,1742506505.0880232,758,255218.294300868,336.6995967029921,172830.4528068738,-9.950617283952813,0,No,1,
213,1742506505.088884,1742506512.0134861,758,255218.29430077013,336.69959670286295,172830.45280676248,-9.950617283952813,0,No,1,
214,1742506512.0154757,1742506519.0296736,758,255218.29430068788,336.69959670275443,172830.45280668646,-9.950617283952813,0,No,1,
215,1742506519.0311162,1742506526.1751342,758,255218.29430033884,336.699596702294,172830.4528063222,-9.950617283952813,0,No,1,
216,1742506526.1767652,1742506532.7807798,735,9259.937942785997,12.598555024198635,9011.845483356403,-9.950617283952813,0,No,1,
